Fault,Stage,MTTR,Success
PacketDelay,AS2,6.959750440476404,1
GatewayFailure,AS2,9.942077087444549,1
SensorNoise,AS1,3.3605003006801843,1
PacketDelay,AS2,6.001887007977241,1
CommunicationLoss,AS2,8.290364048823058,1
SensorDrift,AS1,4.12181350129758,1
SensorNoise,AS1,3.437000686342062,1
CommunicationLoss,AS2,9.021847211101935,1
SensorNoise,AS1,3.1879735757919097,1
AnalyticsFailure,AS3,12.186237997960264,1
AnalyticsFailure,AS3,12.349071348873567,0
PacketDelay,AS2,7.087705484012391,1
SensorNoise,AS1,3.5885254437134844,0
ActuatorFailure,AS5,11.43037782855096,1
SensorDrift,AS1,4.243021207768114,1
SensorDrift,AS1,4.231411610172497,1
PacketDelay,AS2,6.999717940802428,1
GatewayFailure,AS2,9.312192432686656,1
ActuatorFailure,AS5,9.935683782202773,1
SensorDrift,AS1,4.21976921300681,1
AnalyticsFailure,AS3,12.474151278012874,1
CommunicationLoss,AS2,9.019738640963068,1
SensorDrift,AS1,4.659578452631199,1
AnalyticsFailure,AS3,13.10889652306037,1
ModelDrift,AS3,11.969294718914783,1
MissingData,AS1,5.2116954551363,1
PacketDelay,AS2,6.873463824088567,1
SensorDrift,AS1,4.503695007571587,1
SensorNoise,AS1,3.2919838934420276,1
GatewayFailure,AS2,9.958246940746468,1
PacketDelay,AS2,7.013367531606361,1
CommunicationLoss,AS2,7.601577107345913,1
SensorDrift,AS1,4.18212801275692,1
SensorNoise,AS1,3.6031365441380308,1
PacketDelay,AS2,6.3359665252487,1
SensorNoise,AS1,3.2203142546782786,1
AnalyticsFailure,AS3,11.090100416464042,1
SensorNoise,AS1,3.6150372873712624,0
InformationDelay,AS4,5.723017461492231,1
SensorNoise,AS1,3.1489227347875457,1
MissingData,AS1,4.992600391342304,1
SensorDrift,AS1,4.142299141560434,1
SensorNoise,AS1,3.5830574605671974,1
GatewayFailure,AS2,10.591896002073065,1
ModelDrift,AS3,13.832927251230702,1
MissingData,AS1,5.1930019956423354,1
CommunicationLoss,AS2,7.986978031683925,1
AnalyticsFailure,AS3,12.762002897037801,1
SensorDrift,AS1,4.391731041377499,1
AnalyticsFailure,AS3,12.534861556573349,1
CommunicationLoss,AS2,7.831642139156379,1
MissingData,AS1,5.231051379051521,1
CommunicationLoss,AS2,7.5760087073487945,0
PacketDelay,AS2,6.074945466629485,1
PacketDelay,AS2,6.616421919901806,1
AnalyticsFailure,AS3,12.788341712691796,1
SensorDrift,AS1,4.034535574897101,1
SensorDrift,AS1,4.463325179059596,1
ActuatorFailure,AS5,10.56248878382515,1
ActuatorFailure,AS5,10.55945495862744,1
CommunicationLoss,AS2,8.614484096551728,1
ModelDrift,AS3,12.237692347796985,1
AnalyticsFailure,AS3,11.809333693875859,1
SensorDrift,AS1,4.684711011323091,1
CommunicationLoss,AS2,8.420298592843192,1
CommunicationLoss,AS2,8.082095311197614,1
SensorDrift,AS1,4.8116315152255735,1
ModelDrift,AS3,13.954687643627443,1
SensorNoise,AS1,3.6281948509820943,1
ModelDrift,AS3,13.799843280454597,0
SensorDrift,AS1,4.020859631305112,1
AnalyticsFailure,AS3,11.226813476925145,1
SensorDrift,AS1,4.332352600502876,1
InformationDelay,AS4,6.149515263251769,1
SensorNoise,AS1,3.24607845692937,1
ActuatorFailure,AS5,11.687053346493789,1
GatewayFailure,AS2,9.40149731831291,1
ActuatorFailure,AS5,12.063938053094363,1
CommunicationLoss,AS2,9.018432683227816,1
SensorDrift,AS1,4.617230664316879,1
SensorDrift,AS1,4.289225219668434,1
CommunicationLoss,AS2,7.673729138591857,0
CommunicationLoss,AS2,8.943903448707246,1
SensorDrift,AS1,4.266529214042898,1
SensorNoise,AS1,3.1998781957795273,1
ModelDrift,AS3,12.057340257709454,1
CommunicationLoss,AS2,7.991078613468636,1
PacketDelay,AS2,6.91744611979995,1
CommunicationLoss,AS2,8.128509482975776,1
SensorNoise,AS1,3.093015370687217,1
AnalyticsFailure,AS3,13.027095646094722,1
SensorDrift,AS1,4.149020572461861,1
MissingData,AS1,5.026574426149835,1
CommunicationLoss,AS2,7.75017255399345,1
PacketDelay,AS2,7.215009647932824,1
SensorDrift,AS1,4.060524224535925,1
AnalyticsFailure,AS3,12.520085046801658,1
SensorNoise,AS1,3.413592653933209,1
CommunicationLoss,AS2,8.040955017091113,1
CommunicationLoss,AS2,8.373429974042784,1
CommunicationLoss,AS2,8.941615644579226,0
