Episode,Fault,Success,MTTD,MTTR,Messages
0,PacketDelay,True,2.8168261026992862,11.049449947567997,5
1,GatewayFailure,False,4.74743895168642,16.1339669301953,7
2,SensorNoise,False,0.9663284230944511,5.483783488617284,3
3,PacketDelay,True,2.9876443772876295,10.023662821151479,5
4,CommunicationLoss,True,3.868389360350504,12.983751161718894,6
5,SensorDrift,True,1.5895452840092603,7.043100167669302,4
6,SensorNoise,True,0.9275643557783008,4.941303126368061,3
7,CommunicationLoss,True,3.7340832938338853,12.812380802726542,6
8,SensorNoise,True,1.0012848720732361,4.895886264324109,3
9,AnalyticsFailure,True,5.995134634625073,17.731221026901416,8
10,AnalyticsFailure,True,6.375474073901896,17.369875541877768,8
11,PacketDelay,True,2.711786241006998,10.021862077521412,5
12,SensorNoise,True,1.0261183300566297,4.986187429783611,3
13,ActuatorFailure,True,4.926868253496587,15.56883947354234,7
14,SensorDrift,True,1.6561663477974964,6.848464329432214,4
15,SensorDrift,True,1.5475224538987649,6.632948445947422,4
16,PacketDelay,True,2.7010307947531653,9.328480029879906,5
17,GatewayFailure,True,4.756890749053847,15.82463859804036,7
18,ActuatorFailure,True,4.8030668703232955,18.383911613613954,7
19,SensorDrift,True,1.8390580146403124,6.408058569986651,4
20,AnalyticsFailure,True,6.237355491590547,19.623328310686347,8
21,CommunicationLoss,True,4.142047592033324,13.248847028547704,6
22,SensorDrift,True,1.66485490032392,6.445490104189723,4
23,AnalyticsFailure,True,5.691840445049014,18.573776723562567,8
24,ModelDrift,False,6.539454306630223,19.827350041361836,9
25,MissingData,True,2.110551728434179,8.113309431384632,3
26,PacketDelay,True,3.1306692367392785,9.833275900969165,5
27,SensorDrift,True,1.636393486415865,6.182173009254289,4
28,SensorNoise,True,1.0692154852581637,4.6065442990212855,3
29,GatewayFailure,True,4.753569825675329,15.97323652951262,7
30,PacketDelay,True,2.794234110722466,9.649237997046658,5
31,CommunicationLoss,False,3.630483462527138,12.879138457918543,6
32,SensorDrift,True,1.6447718565724128,7.158170450906195,4
33,SensorNoise,True,1.0656058210649018,5.344385972473081,3
34,PacketDelay,True,3.1134994810298866,9.898439383397266,5
